country,area_code,area_name,macro_region,metric_key,metric_label,year,period,value,lower_ci,upper_ci,numerator,denominator,unit,population,measure_type,source_id,source_name,source_url
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2020,2020/21,7.08,7.049,7.111,186648,2636143,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2021,2021/22,7.219,7.188,7.25,191981,2659366,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2022,2022/23,7.316,7.285,7.347,196723,2688972,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2023,2023/24,7.378,7.347,7.409,200626,2719280,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,asthma,Asthma registered prevalence,2024,2024/25,7.458,7.427,7.489,204408,2740862,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2012,2012/13,2.054,2.037,2.071,55386,2696547,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2013,2013/14,2.234,2.216,2.251,60438,2705831,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2014,2014/15,2.418,2.399,2.436,65620,2714330,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2015,2015/16,2.592,2.573,2.611,70802,2731706,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2016,2016/17,2.769,2.75,2.788,76051,2746579,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2017,2017/18,2.953,2.934,2.973,81645,2764436,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2018,2018/19,3.221,3.201,3.242,89580,2780707,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2019,2019/20,3.368,3.347,3.389,94138,2795165,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2020,2020/21,3.448,3.427,3.469,96510,2799163,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2021,2021/22,3.593,3.572,3.615,101327,2819816,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2022,2022/23,3.751,3.729,3.773,106833,2848210,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2023,2023/24,3.938,3.916,3.961,113292,2876817,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,cancer,Cancer registered prevalence,2024,2024/25,4.124,4.101,4.147,119457,2896442,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2012,2012/13,4.517,4.492,4.542,121807,2696547,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2013,2013/14,4.445,4.421,4.47,120276,2705831,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2014,2014/15,4.358,4.334,4.383,118296,2714330,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2015,2015/16,4.279,4.255,4.303,116881,2731706,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2016,2016/17,4.222,4.198,4.246,115962,2746579,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2017,2017/18,4.162,4.138,4.185,115053,2764436,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2018,2018/19,4.117,4.093,4.14,114470,2780707,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2019,2019/20,4.068,4.045,4.091,113700,2795165,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2020,2020/21,3.987,3.964,4.01,111603,2799163,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2021,2021/22,3.925,3.902,3.948,110672,2819816,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2022,2022/23,3.878,3.856,3.9,110450,2848210,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2023,2023/24,3.828,3.806,3.851,110135,2876817,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,chd,Coronary heart disease registered prevalence,2024,2024/25,3.798,3.776,3.82,110016,2896442,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2012,2012/13,2.637,2.617,2.656,71095,2696547,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2013,2013/14,2.711,2.692,2.73,73356,2705831,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2014,2014/15,2.777,2.757,2.796,75370,2714330,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2015,2015/16,2.832,2.812,2.852,77358,2731706,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2016,2016/17,2.892,2.872,2.912,79431,2746579,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2017,2017/18,2.922,2.903,2.942,80788,2764436,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2018,2018/19,2.963,2.944,2.983,82406,2780707,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2019,2019/20,2.971,2.951,2.991,83048,2795165,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2020,2020/21,2.973,2.953,2.993,83225,2799163,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2021,2021/22,2.873,2.853,2.892,81002,2819816,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2022,2022/23,2.832,2.813,2.851,80660,2848210,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2023,2023/24,2.846,2.827,2.866,81886,2876817,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,copd,COPD registered prevalence,2024,2024/25,2.879,2.86,2.898,83385,2896442,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2012,2012/13,6.499,6.466,6.532,139881,2152302,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2013,2013/14,7.214,7.179,7.248,157030,2176879,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2014,2014/15,8.056,8.02,8.092,176146,2186653,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2015,2015/16,9.066,9.028,9.104,199623,2201954,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2016,2016/17,10.005,9.966,10.045,221623,2215073,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2017,2017/18,10.955,10.914,10.996,244366,2230621,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2018,2018/19,11.983,11.941,12.026,268973,2244586,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2019,2019/20,12.919,12.876,12.963,291776,2258451,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2020,2020/21,13.716,13.671,13.761,310423,2263251,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2021,2021/22,14.25,14.204,14.295,325334,2283080,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2022,2022/23,14.954,14.908,15.0,345021,2307270,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,depression,Depression registered prevalence,2024,2024/25,16.095,16.048,16.142,378934,2354408,% registered prevalence,Registered patients aged 18+,QOF registered prevalence,848,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2012,2012/13,6.372,6.34,6.405,139442,2188199,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2013,2013/14,6.53,6.497,6.563,144197,2208251,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2014,2014/15,6.663,6.63,6.695,147726,2217261,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2015,2015/16,6.868,6.835,6.902,153283,2231717,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2016,2016/17,7.055,7.021,7.088,158352,2244565,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2017,2017/18,7.201,7.167,7.234,162652,2258856,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2018,2018/19,7.44,7.406,7.474,169060,2272331,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2019,2019/20,7.644,7.609,7.678,174775,2286560,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2020,2020/21,7.761,7.727,7.796,177927,2292520,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2021,2021/22,7.992,7.957,8.027,184863,2313090,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2022,2022/23,8.263,8.227,8.298,193187,2338061,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2023,2023/24,8.525,8.489,8.561,201669,2365642,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,diabetes,Diabetes registered prevalence,2024,2024/25,8.892,8.856,8.928,212280,2387432,% registered prevalence,Registered patients aged 17+,QOF registered prevalence,241,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2012,2012/13,15.504,15.461,15.547,418078,2696547,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2013,2013/14,15.568,15.525,15.611,421239,2705831,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2014,2014/15,15.568,15.525,15.611,422575,2714330,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2015,2015/16,15.595,15.552,15.638,426005,2731706,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2016,2016/17,15.642,15.599,15.685,429617,2746579,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2017,2017/18,15.694,15.651,15.737,433854,2764436,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2018,2018/19,15.859,15.816,15.902,441002,2780707,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2019,2019/20,15.977,15.934,16.02,446595,2795165,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2020,2020/21,15.862,15.82,15.905,444011,2799163,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2021,2021/22,15.992,15.949,16.034,450933,2819816,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2022,2022/23,16.606,16.563,16.65,472982,2848210,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2023,2023/24,17.165,17.122,17.209,493809,2876817,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000001,North East,England,hypertension,Hypertension registered prevalence,2024,2024/25,17.763,17.719,17.807,514488,2896442,% registered prevalence,All registered patients,QOF registered prevalence,219,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,asthma,Asthma registered prevalence,2020,2020/21,7.047,7.029,7.066,521918,7406045,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,asthma,Asthma registered prevalence,2021,2021/22,7.073,7.055,7.092,531852,7519219,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,asthma,Asthma registered prevalence,2022,2022/23,7.097,7.078,7.115,540227,7612421,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,asthma,Asthma registered prevalence,2023,2023/24,7.084,7.066,7.102,547794,7732535,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,asthma,Asthma registered prevalence,2024,2024/25,7.08,7.063,7.098,553994,7824223,% registered prevalence,Registered patients aged 6+,QOF registered prevalence,90933,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2012,2012/13,1.98,1.97,1.99,146472,7397503,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2013,2013/14,2.144,2.133,2.154,159415,7436971,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2014,2014/15,2.317,2.307,2.328,173084,7468714,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2015,2015/16,2.484,2.472,2.495,187477,7548789,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2016,2016/17,2.662,2.651,2.673,203095,7629451,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2017,2017/18,2.823,2.812,2.835,218066,7724133,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2018,2018/19,3.097,3.085,3.109,242792,7838863,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2019,2019/20,3.255,3.243,3.268,256053,7865601,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2020,2020/21,3.323,3.311,3.336,262804,7907722,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2021,2021/22,3.477,3.464,3.49,278649,8014506,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2022,2022/23,3.643,3.63,3.655,295106,8101612,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2023,2023/24,3.803,3.79,3.816,312484,8217202,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,cancer,Cancer registered prevalence,2024,2024/25,3.973,3.96,3.986,329829,8302208,% registered prevalence,All registered patients,QOF registered prevalence,276,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2012,2012/13,3.954,3.939,3.968,292461,7397503,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2013,2013/14,3.879,3.865,3.893,288461,7436971,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2014,2014/15,3.819,3.806,3.833,285259,7468714,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2015,2015/16,3.759,3.746,3.773,283784,7548789,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2016,2016/17,3.7,3.687,3.714,282307,7629451,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2017,2017/18,3.646,3.633,3.659,281605,7724133,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2018,2018/19,3.609,3.596,3.622,282923,7838863,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2019,2019/20,3.606,3.593,3.619,283615,7865601,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2020,2020/21,3.542,3.529,3.555,280080,7907722,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2021,2021/22,3.488,3.476,3.501,279569,8014506,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2022,2022/23,3.447,3.435,3.46,279302,8101612,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2023,2023/24,3.43,3.418,3.443,281890,8217202,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,chd,Coronary heart disease registered prevalence,2024,2024/25,3.419,3.406,3.431,283815,8302208,% registered prevalence,All registered patients,QOF registered prevalence,273,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,copd,COPD registered prevalence,2012,2012/13,2.26,2.249,2.271,167195,7397503,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,copd,COPD registered prevalence,2013,2013/14,2.302,2.291,2.313,171184,7436971,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,copd,COPD registered prevalence,2014,2014/15,2.34,2.329,2.35,174734,7468714,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,copd,COPD registered prevalence,2015,2015/16,2.374,2.363,2.385,179217,7548789,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,copd,COPD registered prevalence,2016,2016/17,2.409,2.398,2.419,183763,7629451,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
UK,E12000002,North West,England,copd,COPD registered prevalence,2017,2017/18,2.431,2.42,2.442,187793,7724133,% registered prevalence,All registered patients,QOF registered prevalence,253,OHID Fingertips / NHS England QOF,https://fingertips.phe.org.uk/
